ano,codigo_escola,escola,endereco_bairro,endereco_logradouro,endereco_numero,rpa,ano_ensino,modalidade_ensino_codigo,serie_codigo,modalidade_ensino,serie,turma,turno,matricula,sexo,idade,situacao_codigo,situacao_nome
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,21000131,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22093540,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22610880,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,23236930,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22610855,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22606807,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22612300,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22612327,2,5,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,23007060,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22612270,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,23180790,2,5,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,23179384,2,5,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,21096678,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22612238,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22606785,1,5,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22612688,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22081526,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,21657572,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22610731,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22610928,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22021523,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22612670,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,21603871,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22019464,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,21014876,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,GRUPO V,0,5,EDUCACAO INFANTIL,GRUPO V,A,TARDE,22606823,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610550,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,22113339,1,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,22006605,1,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21657777,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610487,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610401,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610460,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,20068166,1,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,20755988,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21642060,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610444,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,22006907,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610380,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610533,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21671370,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,20756240,1,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,20742380,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610665,2,6,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610851,1,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,22015973,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610428,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,22150900,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610622,1,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610681,2,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,A,MANH,21610517,1,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,B,MANH,23629207,2,8,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,B,MANH,22140000,1,7,AP,APROVADO
2023,146,ABILIO GOMES,BOA VIAGEM,BRUNO VELOZO,S/N,6,1 ANO,1,0,ENSINO FUNDAMENTAL,1 ANO,B,MANH,23691794,1,9,AP,APROVADO
